2026-01-03 20:41:37 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:42 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:47 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:41:52 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.004s
2026-01-03 20:41:57 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.002s
2026-01-03 20:42:02 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:42:07 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/agriculture_model_v1_1767444072_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 20:42:42 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/crop_vision_v2_1767444157_ful, 状态码: 500, 耗时: 0.002s
2026-01-03 20:42:56 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/models/training/weather_prediction_v3_1767444170_ful, 状态码: 500, 耗时: 0.003s
2026-01-03 21:33:12 - api - ERROR - logging_config.py:278 - API访问 - IP: 127.0.0.1, 用户: unknown, 方法: GET, 路径: /api/edge/system/overview, 状态码: 500, 耗时: 0.004s
